제품유형,화면,질문,답,다음화면,비고,컨트롤,값
분말·과립,q025_5_063_5_111_5_fracturinggranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,파쇄 10 gram/minute 미만,,가지치기(형제 선택지와 같은 곳),ctl00$cphMain$FS,rbGPerMinLT10
분말·과립,q025_5_063_5_111_5_fracturinggranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,파쇄 100 - 1000 kg/minute,q025_8_063_8_111_8_fracturinggranularmaterialcontainmentlevel,,ctl00$cphMain$FS,rbKgPerMin100To1000
분말·과립,q025_5_063_5_111_5_fracturinggranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,파쇄 100 - 1000 kg/minute,q025_8_063_8_111_8_fracturinggranularmaterialcontainmentlevel,,ctl00$cphMain$FS,rbKgPerMin100To1000
분말·과립,q025_5_063_5_111_5_fracturinggranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,파쇄 1000 kg/minute 초과,q025_8_063_8_111_8_fracturinggranularmaterialcontainmentlevel,,ctl00$cphMain$FS,rbKgPerMinGT1000
분말·과립,q025_5_063_5_111_5_fracturinggranularmaterial,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,파쇄 1000 kg/minute 초과,q025_8_063_8_111_8_fracturinggranularmaterialcontainmentlevel,,ctl00$cphMain$FS,rbKgPerMinGT1000
분말·과립,q025_8_063_8_111_8_fracturinggranularmaterialcontainmentlevel,공정의 밀폐 수준은 어떻습니까?,개방 공정 (예: 개방된 표면에서의 벌크 분쇄),q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$Containment,rbOpenProcess
분말·과립,q025_8_063_8_111_8_fracturinggranularmaterialcontainmentlevel,공정의 밀폐 수준은 어떻습니까?,개방 공정 (예: 개방된 표면에서의 벌크 분쇄),q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$Containment,rbOpenProcess
분말·과립,q025_8_063_8_111_8_fracturinggranularmaterialcontainmentlevel,공정의 밀폐 수준은 어떻습니까?,제품과 주변 공기의 접촉을 줄이는 취급,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$Containment,rbReducedContact
분말·과립,q025_8_063_8_111_8_fracturinggranularmaterialcontainmentlevel,공정의 밀폐 수준은 어떻습니까?,제품과 주변 공기의 접촉을 줄이는 취급,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$Containment,rbReducedContact
분말·과립,q042_080_130_primarylocalizedcontrols,일반 제어수단,국소 제어 없음,q045_081_surfacecontamination,,ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbNoLocalizedControls
분말·과립,q042_080_130_primarylocalizedcontrols,일반 제어수단,국소 제어 없음,q043_131_segregation,,ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbNoLocalizedControls
분말·과립,q042_080_130_primarylocalizedcontrols,일반 제어수단,국소배기장치(LEV),,막힘(검증오류),ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbLEV
분말·과립,q042_080_130_primarylocalizedcontrols,일반 제어수단,국소배기장치(LEV),,막힘(검증오류),ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbLEV
분말·과립,q042_080_130_primarylocalizedcontrols,일반 제어수단,글로브 박스 및 글로브 백,,막힘(검증오류),ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbGlove
분말·과립,q042_080_130_primarylocalizedcontrols,일반 제어수단,글로브 박스 및 글로브 백,,막힘(검증오류),ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbGlove
분말·과립,q042_080_130_primarylocalizedcontrols,일반 제어수단,밀폐 — 배기 없음,q042_5_080_5_130_5_secondarylocalizedcontrols,,ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbContainment
분말·과립,q042_080_130_primarylocalizedcontrols,일반 제어수단,밀폐 — 배기 없음,q042_5_080_5_130_5_secondarylocalizedcontrols,,ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbContainment
분말·과립,q042_080_130_primarylocalizedcontrols,일반 제어수단,억제 기법,q042_5_080_5_130_5_secondarylocalizedcontrols,,ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbSuppression
분말·과립,q042_080_130_primarylocalizedcontrols,일반 제어수단,억제 기법,q042_5_080_5_130_5_secondarylocalizedcontrols,,ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbSuppression
분말·과립,q042_080_130_primarylocalizedcontrols,일반 제어수단,증기 회수 시스템,q042_5_080_5_130_5_secondarylocalizedcontrols,,ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbVapourRecoverySystem
분말·과립,q042_080_130_primarylocalizedcontrols,일반 제어수단,증기 회수 시스템,q042_5_080_5_130_5_secondarylocalizedcontrols,,ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbVapourRecoverySystem
분말·과립,q042_5_080_5_130_5_secondarylocalizedcontrols,일반 제어수단,2차 국소 제어 없음,q045_081_surfacecontamination,,ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbNoLocalizedControls
분말·과립,q042_5_080_5_130_5_secondarylocalizedcontrols,일반 제어수단,2차 국소 제어 없음,q043_131_segregation,,ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbNoLocalizedControls
분말·과립,q042_5_080_5_130_5_secondarylocalizedcontrols,일반 제어수단,국소배기장치(LEV),,막힘(검증오류),ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbLEV
분말·과립,q042_5_080_5_130_5_secondarylocalizedcontrols,일반 제어수단,국소배기장치(LEV),,가지치기(형제 선택지와 같은 곳),ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbLEV
분말·과립,q042_5_080_5_130_5_secondarylocalizedcontrols,일반 제어수단,글로브 박스 및 글로브 백,,막힘(검증오류),ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbGlove
분말·과립,q042_5_080_5_130_5_secondarylocalizedcontrols,일반 제어수단,글로브 박스 및 글로브 백,,가지치기(형제 선택지와 같은 곳),ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbGlove
분말·과립,q042_5_080_5_130_5_secondarylocalizedcontrols,일반 제어수단,밀폐 — 배기 없음,q045_081_surfacecontamination,,ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbContainment
분말·과립,q042_5_080_5_130_5_secondarylocalizedcontrols,일반 제어수단,밀폐 — 배기 없음,q043_131_segregation,,ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbContainment
분말·과립,q042_5_080_5_130_5_secondarylocalizedcontrols,일반 제어수단,억제 기법,q045_081_surfacecontamination,,ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbSuppression
분말·과립,q042_5_080_5_130_5_secondarylocalizedcontrols,일반 제어수단,억제 기법,q043_131_segregation,,ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbSuppression
분말·과립,q042_5_080_5_130_5_secondarylocalizedcontrols,일반 제어수단,증기 회수 시스템,q045_081_surfacecontamination,,ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbVapourRecoverySystem
분말·과립,q042_5_080_5_130_5_secondarylocalizedcontrols,일반 제어수단,증기 회수 시스템,,가지치기(형제 선택지와 같은 곳),ctl00$cphMain$ctrlLocalizedControls$ControlMeasures,rbVapourRecoverySystem
분말·과립,q043_131_segregation,격리(발생원) 선택,(미수집) rbCompleteNoVentilation,q044_personalenclosure,,ctl00$cphMain$Segregation,rbCompleteNoVentilation
분말·과립,q043_131_segregation,격리(발생원) 선택,(미수집) rbCompleteVentilation,,가지치기(형제 선택지와 같은 곳),ctl00$cphMain$Segregation,rbCompleteVentilation
분말·과립,q043_131_segregation,격리(발생원) 선택,(미수집) rbNoSegregation,,가지치기(형제 선택지와 같은 곳),ctl00$cphMain$Segregation,rbNoSegregation
분말·과립,q043_131_segregation,격리(발생원) 선택,(미수집) rbPartialNoVentilation,q044_personalenclosure,,ctl00$cphMain$Segregation,rbPartialNoVentilation
분말·과립,q043_131_segregation,격리(발생원) 선택,(미수집) rbPartialVentilation,q044_personalenclosure,,ctl00$cphMain$Segregation,rbPartialVentilation
분말·과립,q044_personalenclosure,Select 격리(작업자),(미수집) rbCompleteNoVentilation,q045_081_surfacecontamination,,ctl00$cphMain$PersonalEnclosure,rbCompleteNoVentilation
분말·과립,q044_personalenclosure,Select 격리(작업자),(미수집) rbCompleteVentilation,,가지치기(형제 선택지와 같은 곳),ctl00$cphMain$PersonalEnclosure,rbCompleteVentilation
분말·과립,q044_personalenclosure,Select 격리(작업자),(미수집) rbNoPersonalEnclosure,,가지치기(형제 선택지와 같은 곳),ctl00$cphMain$PersonalEnclosure,rbNoPersonalEnclosure
분말·과립,q044_personalenclosure,Select 격리(작업자),(미수집) rbPartialNoVentilation,q045_081_surfacecontamination,,ctl00$cphMain$PersonalEnclosure,rbPartialNoVentilation
분말·과립,q044_personalenclosure,Select 격리(작업자),(미수집) rbPartialVentilation,q045_081_surfacecontamination,,ctl00$cphMain$PersonalEnclosure,rbPartialVentilation
분말·과립,q045_081_surfacecontamination,"공정이 완전히 밀폐되어 있고, 그 밀폐의 건전성을 정기적으로 점검합니까?",아니오,q084_dispersion,,ctl00$cphMain$Enclosed,rbEnclosedNo
분말·과립,q045_081_surfacecontamination,"공정이 완전히 밀폐되어 있고, 그 밀폐의 건전성을 정기적으로 점검합니까?",아니오,q048_dispersion,,ctl00$cphMain$Enclosed,rbEnclosedNo
분말·과립,q045_081_surfacecontamination,"공정이 완전히 밀폐되어 있고, 그 밀폐의 건전성을 정기적으로 점검합니까?",예,q084_dispersion,,ctl00$cphMain$Enclosed,rbEnclosedYes
분말·과립,q045_081_surfacecontamination,"공정이 완전히 밀폐되어 있고, 그 밀폐의 건전성을 정기적으로 점검합니까?",예,q048_dispersion,,ctl00$cphMain$Enclosed,rbEnclosedYes
분말·과립,q048_dispersion,작업을 실내 또는 실외에서 수행합니까?,(미수집) rbIndoors,,막힘(검증오류),ctl00$cphMain$ctrlDispersion$Site,rbIndoors
분말·과립,q048_dispersion,작업을 실내 또는 실외에서 수행합니까?,(미수집) rbOutdoors,,막힘(검증오류),ctl00$cphMain$ctrlDispersion$Site,rbOutdoors
분말·과립,q084_dispersion,"작업은 실내, 실외, 분무실, 또는 하향 층류 부스 중 어디에서 수행됩니까?",스프레이 룸,q089_0_secondaryfarfieldsources,,ctl00$cphMain$ctrlDispersion$Site,rbSprayRoom
분말·과립,q084_dispersion,"작업은 실내, 실외, 분무실, 또는 하향 층류 부스 중 어디에서 수행됩니까?",실내,q089_0_secondaryfarfieldsources,,ctl00$cphMain$ctrlDispersion$Site,rbIndoors
분말·과립,q084_dispersion,"작업은 실내, 실외, 분무실, 또는 하향 층류 부스 중 어디에서 수행됩니까?",실외,q089_0_secondaryfarfieldsources,,ctl00$cphMain$ctrlDispersion$Site,rbOutdoors
분말·과립,q084_dispersion,"작업은 실내, 실외, 분무실, 또는 하향 층류 부스 중 어디에서 수행됩니까?",하향 층류 부스,q089_0_secondaryfarfieldsources,,ctl00$cphMain$ctrlDispersion$Site,rbBooth
분말·과립,q089_0_secondaryfarfieldsources,"작업자 호흡 영역의 발생원 외에, 작업실 내에 2차 발생원이 존재합니까?",아니오,q002_7_activities,,ctl00$cphMain$FFSES,rbNo
분말·과립,q089_0_secondaryfarfieldsources,"작업자 호흡 영역의 발생원 외에, 작업실 내에 2차 발생원이 존재합니까?",예,q003_090_producttype,,ctl00$cphMain$FFSES,rbYes
액체,q002_7_activities,시나리오 개요 - ART 기계론적 모델,(선택지 없음 - 값 입력 후 다음),,막힘(검증오류),(직진),
액체,q009_096_processtemperature,공정 중 액체의 온도는 얼마입니까?,고온 공정 (50 - 150 ℃),q010_010_5_097_097_5_vapourpressure,,ctl00$cphMain$ddlTemperature,1
액체,q009_096_processtemperature,공정 중 액체의 온도는 얼마입니까?,실온 (15 - 25 ℃),q010_010_5_097_097_5_vapourpressure,,ctl00$cphMain$ddlTemperature,3
액체,q009_096_processtemperature,공정 중 액체의 온도는 얼마입니까?,실온 미만 (< 15 ℃),q010_010_5_097_097_5_vapourpressure,,ctl00$cphMain$ddlTemperature,4
액체,q009_096_processtemperature,공정 중 액체의 온도는 얼마입니까?,실온 초과 (25 - 50 ℃),q010_010_5_097_097_5_vapourpressure,,ctl00$cphMain$ddlTemperature,2
액체,q010_010_5_097_097_5_vapourpressure,실온에서 물질의 증기압(Pascal)은 얼마입니까?,(선택지 없음 - 값 입력 후 다음),q012_099_liquidweightfraction,,(직진),
액체,q012_099_liquidweightfraction,"해당 물질은 저휘발성으로 간주되며, 미스트 노출로 추정됩니다.",극미량 (0.01 - 0.1 %),q013_100_viscosity,,ctl00$cphMain$ddlFraction,8
액체,q012_099_liquidweightfraction,"해당 물질은 저휘발성으로 간주되며, 미스트 노출로 추정됩니다.",극히 적음 (0.1 - 0.5 %),q013_100_viscosity,,ctl00$cphMain$ddlFraction,7
액체,q012_099_liquidweightfraction,"해당 물질은 저휘발성으로 간주되며, 미스트 노출로 추정됩니다.",매우 적음 (0.5 - 1 %),q013_100_viscosity,,ctl00$cphMain$ddlFraction,6
액체,q012_099_liquidweightfraction,"해당 물질은 저휘발성으로 간주되며, 미스트 노출로 추정됩니다.",상당량 (10 - 50 %),q013_100_viscosity,,ctl00$cphMain$ddlFraction,3
액체,q012_099_liquidweightfraction,"해당 물질은 저휘발성으로 간주되며, 미스트 노출로 추정됩니다.",소량 (5 - 10 %),q013_100_viscosity,,ctl00$cphMain$ddlFraction,4
액체,q012_099_liquidweightfraction,"해당 물질은 저휘발성으로 간주되며, 미스트 노출로 추정됩니다.",순수 액체 (100%),q013_100_viscosity,,ctl00$cphMain$ddlFraction,1
액체,q012_099_liquidweightfraction,"해당 물질은 저휘발성으로 간주되며, 미스트 노출로 추정됩니다.",적음 (1 - 5 %),q013_100_viscosity,,ctl00$cphMain$ddlFraction,5
액체,q012_099_liquidweightfraction,"해당 물질은 저휘발성으로 간주되며, 미스트 노출로 추정됩니다.",주성분 (50 - 90 %),q013_100_viscosity,,ctl00$cphMain$ddlFraction,2
액체,q013_100_viscosity,물질/조제품의 점도는 얼마입니까?,저점도 액체 (물과 유사),q016_nearfieldsource,,ctl00$cphMain$Viscosity,rbLow
액체,q013_100_viscosity,물질/조제품의 점도는 얼마입니까?,중점도 액체 (기름과 유사),q016_nearfieldsource,,ctl00$cphMain$Viscosity,rbMedium
액체,q016_nearfieldsource,"1차 배출 발생원이 작업자의 호흡 영역(즉, 작업자 머리로부터 모든 방향으로 1미터 이내의 공기 체적) 안에 있습니까?",아니오,q017_055_103_activityclass,,ctl00$cphMain$NFPES,rbNo
액체,q016_nearfieldsource,"1차 배출 발생원이 작업자의 호흡 영역(즉, 작업자 머리로부터 모든 방향으로 1미터 이내의 공기 체적) 안에 있습니까?",예,q017_055_103_activityclass,,ctl00$cphMain$NFPES,rbYes
액체,q017_055_103_activityclass,활동 등급 선택,개방 액면 또는 개방 저장조에서의 활동 / (미수집) 13,q028_066_114_liquidopensurfaceundisturbed,,ctl00$cphMain$ActivityClass~~selSubclass,rbLiquidOpenSurface~~13
액체,q017_055_103_activityclass,활동 등급 선택,개방 액면 또는 개방 저장조에서의 활동 / (미수집) 13,q028_066_114_liquidopensurfaceundisturbed,,ctl00$cphMain$ActivityClass~~selSubclass,rbLiquidOpenSurface~~13
액체,q017_055_103_activityclass,활동 등급 선택,개방 액면 또는 개방 저장조에서의 활동 / (미수집) 14,q028_3_066_3_114_3_liquidopensurfaceagitated,,ctl00$cphMain$ActivityClass~~selSubclass,rbLiquidOpenSurface~~14
액체,q017_055_103_activityclass,활동 등급 선택,개방 액면 또는 개방 저장조에서의 활동 / (미수집) 14,q028_3_066_3_114_3_liquidopensurfaceagitated,,ctl00$cphMain$ActivityClass~~selSubclass,rbLiquidOpenSurface~~14
액체,q017_055_103_activityclass,활동 등급 선택,개방 액면 또는 개방 저장조에서의 활동 / — 선택 —,q028_066_114_liquidopensurfaceundisturbed,,ctl00$cphMain$ActivityClass~~selSubclass,rbLiquidOpenSurface~~0
액체,q017_055_103_activityclass,활동 등급 선택,개방 액면 또는 개방 저장조에서의 활동 / — 선택 —,q028_066_114_liquidopensurfaceundisturbed,,ctl00$cphMain$ActivityClass~~selSubclass,rbLiquidOpenSurface~~0
액체,q017_055_103_activityclass,활동 등급 선택,고속 공정에서의 액체 적용 (예: 회전 공구),q030_068_116_liquidshighspeedprocesses,,ctl00$cphMain$ActivityClass,rbLiquidHighSpeedProcesses
액체,q017_055_103_activityclass,활동 등급 선택,고속 공정에서의 액체 적용 (예: 회전 공구),q030_068_116_liquidshighspeedprocesses,,ctl00$cphMain$ActivityClass,rbLiquidHighSpeedProcesses
액체,q017_055_103_activityclass,활동 등급 선택,액상 제품의 도포,q029_067_115_spreadingliquidproducts,,ctl00$cphMain$ActivityClass,rbLiquidSpreadingProducts
액체,q017_055_103_activityclass,활동 등급 선택,액상 제품의 도포,q029_067_115_spreadingliquidproducts,,ctl00$cphMain$ActivityClass,rbLiquidSpreadingProducts
액체,q017_055_103_activityclass,활동 등급 선택,액상 제품의 이송 / (미수집) 18,q032_070_118_bottomloading,,ctl00$cphMain$ActivityClass~~selSubclass,rbLiquidTransfer~~18
액체,q017_055_103_activityclass,활동 등급 선택,액상 제품의 이송 / (미수집) 18,q032_070_118_bottomloading,,ctl00$cphMain$ActivityClass~~selSubclass,rbLiquidTransfer~~18
액체,q017_055_103_activityclass,활동 등급 선택,액상 제품의 이송 / (미수집) 19,q033_071_119_fallingliquids,,ctl00$cphMain$ActivityClass~~selSubclass,rbLiquidTransfer~~19
액체,q017_055_103_activityclass,활동 등급 선택,액상 제품의 이송 / (미수집) 19,q033_071_119_fallingliquids,,ctl00$cphMain$ActivityClass~~selSubclass,rbLiquidTransfer~~19
액체,q017_055_103_activityclass,활동 등급 선택,액상 제품의 이송 / — 선택 —,q032_070_118_bottomloading,,ctl00$cphMain$ActivityClass~~selSubclass,rbLiquidTransfer~~0
액체,q017_055_103_activityclass,활동 등급 선택,액상 제품의 이송 / — 선택 —,q032_070_118_bottomloading,,ctl00$cphMain$ActivityClass~~selSubclass,rbLiquidTransfer~~0
액체,q017_055_103_activityclass,활동 등급 선택,액체의 분무 적용 / — 선택 —,q026_064_112_surfacesprayingliquids,,ctl00$cphMain$ActivityClass~~selSubclass,rbLiquidSprayApplication~~0
액체,q017_055_103_activityclass,활동 등급 선택,액체의 분무 적용 / — 선택 —,q026_064_112_surfacesprayingliquids,,ctl00$cphMain$ActivityClass~~selSubclass,rbLiquidSprayApplication~~0
액체,q017_055_103_activityclass,활동 등급 선택,액체의 분무 적용 / 공간 내 액체 분무,q027_065_113_sprayingliquidsinspace,,ctl00$cphMain$ActivityClass~~selSubclass,rbLiquidSprayApplication~~12
액체,q017_055_103_activityclass,활동 등급 선택,액체의 분무 적용 / 공간 내 액체 분무,q027_065_113_sprayingliquidsinspace,,ctl00$cphMain$ActivityClass~~selSubclass,rbLiquidSprayApplication~~12
액체,q017_055_103_activityclass,활동 등급 선택,액체의 분무 적용 / 액체의 표면 분무,q026_064_112_surfacesprayingliquids,,ctl00$cphMain$ActivityClass~~selSubclass,rbLiquidSprayApplication~~11
액체,q017_055_103_activityclass,활동 등급 선택,액체의 분무 적용 / 액체의 표면 분무,q026_064_112_surfacesprayingliquids,,ctl00$cphMain$ActivityClass~~selSubclass,rbLiquidSprayApplication~~11
액체,q017_055_103_activityclass,활동 등급 선택,액체의 연소 / (미수집) 18,q032_070_118_bottomloading,,ctl00$cphMain$ActivityClass~~selSubclass,rbBurningLiquids~~18
액체,q017_055_103_activityclass,활동 등급 선택,액체의 연소 / (미수집) 18,q032_070_118_bottomloading,,ctl00$cphMain$ActivityClass~~selSubclass,rbBurningLiquids~~18
액체,q017_055_103_activityclass,활동 등급 선택,액체의 연소 / (미수집) 19,q033_071_119_fallingliquids,,ctl00$cphMain$ActivityClass~~selSubclass,rbBurningLiquids~~19
액체,q017_055_103_activityclass,활동 등급 선택,액체의 연소 / (미수집) 19,q033_071_119_fallingliquids,,ctl00$cphMain$ActivityClass~~selSubclass,rbBurningLiquids~~19
액체,q017_055_103_activityclass,활동 등급 선택,액체의 연소 / — 선택 —,q032_070_118_bottomloading,,ctl00$cphMain$ActivityClass~~selSubclass,rbBurningLiquids~~0
액체,q017_055_103_activityclass,활동 등급 선택,액체의 연소 / — 선택 —,q032_070_118_bottomloading,,ctl00$cphMain$ActivityClass~~selSubclass,rbBurningLiquids~~0
액체,q017_055_103_activityclass,활동 등급 선택,오염된 물체의 취급,q028_5_066_5_114_5_handlingcontaminatedobjects,,ctl00$cphMain$ActivityClass,rbLiquidHandlingContaminatedObjects
액체,q017_055_103_activityclass,활동 등급 선택,오염된 물체의 취급,q028_5_066_5_114_5_handlingcontaminatedobjects,,ctl00$cphMain$ActivityClass,rbLiquidHandlingContaminatedObjects
액체,q026_064_112_surfacesprayingliquids,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,낮은 도포율 (0.03 - 0.3 l/minute),q026_5_064_5_112_5_surfacesprayingliquidsspraydirection,,ctl00$cphMain$SSL,rbLowApplicationRate
액체,q026_064_112_surfacesprayingliquids,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,낮은 도포율 (0.03 - 0.3 l/minute),q026_5_064_5_112_5_surfacesprayingliquidsspraydirection,,ctl00$cphMain$SSL,rbLowApplicationRate
액체,q026_064_112_surfacesprayingliquids,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,높은 도포율 (> 3 l/minute),q026_5_064_5_112_5_surfacesprayingliquidsspraydirection,,ctl00$cphMain$SSL,rbHighApplicationRate
액체,q026_064_112_surfacesprayingliquids,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,높은 도포율 (> 3 l/minute),q026_5_064_5_112_5_surfacesprayingliquidsspraydirection,,ctl00$cphMain$SSL,rbHighApplicationRate
액체,q026_064_112_surfacesprayingliquids,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,매우 낮은 도포율 (< 0.03 l/minute),q026_5_064_5_112_5_surfacesprayingliquidsspraydirection,,ctl00$cphMain$SSL,rbVeryLowApplicationRate
액체,q026_064_112_surfacesprayingliquids,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,매우 낮은 도포율 (< 0.03 l/minute),,가지치기(형제 선택지와 같은 곳),ctl00$cphMain$SSL,rbVeryLowApplicationRate
액체,q026_064_112_surfacesprayingliquids,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,중간 도포율 (0.3 - 3 l/minute),q026_5_064_5_112_5_surfacesprayingliquidsspraydirection,,ctl00$cphMain$SSL,rbModerateApplicationRate
액체,q026_064_112_surfacesprayingliquids,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,중간 도포율 (0.3 - 3 l/minute),q026_5_064_5_112_5_surfacesprayingliquidsspraydirection,,ctl00$cphMain$SSL,rbModerateApplicationRate
액체,q026_5_064_5_112_5_surfacesprayingliquidsspraydirection,분무 방향은 어떻습니까?,모든 방향(상향 포함)으로의 분무,q026_7_064_7_112_7_surfacesprayingliquidsspraytechnique,,ctl00$cphMain$SSLSD,rbAnyDirection
액체,q026_5_064_5_112_5_surfacesprayingliquidsspraydirection,분무 방향은 어떻습니까?,모든 방향(상향 포함)으로의 분무,q026_7_064_7_112_7_surfacesprayingliquidsspraytechnique,,ctl00$cphMain$SSLSD,rbAnyDirection
액체,q026_5_064_5_112_5_surfacesprayingliquidsspraydirection,분무 방향은 어떻습니까?,수평 또는 하향 분무만,q026_7_064_7_112_7_surfacesprayingliquidsspraytechnique,,ctl00$cphMain$SSLSD,rbHorizontalDownward
액체,q026_5_064_5_112_5_surfacesprayingliquidsspraydirection,분무 방향은 어떻습니까?,수평 또는 하향 분무만,q026_7_064_7_112_7_surfacesprayingliquidsspraytechnique,,ctl00$cphMain$SSLSD,rbHorizontalDownward
액체,q026_5_064_5_112_5_surfacesprayingliquidsspraydirection,분무 방향은 어떻습니까?,하향만,q026_7_064_7_112_7_surfacesprayingliquidsspraytechnique,,ctl00$cphMain$SSLSD,rbDownwardOnly
액체,q026_5_064_5_112_5_surfacesprayingliquidsspraydirection,분무 방향은 어떻습니까?,하향만,q026_7_064_7_112_7_surfacesprayingliquidsspraytechnique,,ctl00$cphMain$SSLSD,rbDownwardOnly
액체,q026_7_064_7_112_7_surfacesprayingliquidsspraytechnique,분무 기법은 무엇입니까?,압축공기 미사용 또는 사용이 적은 분무,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$SSL,rbLowCompressedAir
액체,q026_7_064_7_112_7_surfacesprayingliquidsspraytechnique,분무 기법은 무엇입니까?,압축공기 미사용 또는 사용이 적은 분무,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$SSL,rbLowCompressedAir
액체,q026_7_064_7_112_7_surfacesprayingliquidsspraytechnique,분무 기법은 무엇입니까?,압축공기 사용이 많은 분무,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$SSL,rbHighCompressedAir
액체,q026_7_064_7_112_7_surfacesprayingliquidsspraytechnique,분무 기법은 무엇입니까?,압축공기 사용이 많은 분무,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$SSL,rbHighCompressedAir
액체,q027_065_113_sprayingliquidsinspace,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,대규모 공간 분무,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$SLS,rbLargeScale
액체,q027_065_113_sprayingliquidsinspace,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,대규모 공간 분무,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$SLS,rbLargeScale
액체,q027_065_113_sprayingliquidsinspace,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,소규모 공간 분무,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$SLS,rbSmallScale
액체,q027_065_113_sprayingliquidsinspace,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,소규모 공간 분무,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$SLS,rbSmallScale
액체,q028_066_114_liquidopensurfaceundisturbed,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,개방 표면 0.1 - 0.3 m2,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$LOSU,rbCmSq1000To3000
액체,q028_066_114_liquidopensurfaceundisturbed,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,개방 표면 0.1 - 0.3 m2,,가지치기(형제 선택지와 같은 곳),ctl00$cphMain$LOSU,rbCmSq1000To3000
액체,q028_066_114_liquidopensurfaceundisturbed,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,개방 표면 0.3 - 1 m2,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$LOSU,rbCmSq3000To10000
액체,q028_066_114_liquidopensurfaceundisturbed,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,개방 표면 0.3 - 1 m2,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$LOSU,rbCmSq3000To10000
액체,q028_066_114_liquidopensurfaceundisturbed,아래 상황 중 귀하의 활동을 가장 잘 나타내는 것은 무엇입니까?,개방 표면 1 - 3 m2,q042_080_130_primarylocalizedcontrols,,ctl00$cphMain$LOSU,rbMSq1To3
